date,account_value
2022-06-01,100000.0
2022-06-02,103931.41806810952
2022-06-03,101768.49402636147
2022-06-06,102175.63494318581
2022-06-07,103395.17364710427
2022-06-08,102448.42219942666
2022-06-09,99652.90786951638
2022-06-10,96030.56268137551
2022-06-13,92147.17902201271
2022-06-14,92183.90941256142
2022-06-15,93374.98535555459
2022-06-16,89520.60095804787
2022-06-17,90348.9354612217
2022-06-21,91527.55831163979
2022-06-22,91399.565693079
2022-06-23,94563.03948801613
2022-06-24,97392.86684626198
2022-06-27,96503.22359675026
2022-06-28,93714.38646715737
2022-06-29,94753.01008242226
2022-06-30,92857.26233690834
2022-07-01,91334.62138765908
2022-07-05,94051.82739466286
2022-07-06,94836.14687555886
2022-07-07,97715.41364687539
2022-07-08,97636.61080759623
2022-07-11,94899.08175104714
2022-07-12,94103.4535886631
2022-07-13,94659.38832110024
2022-07-14,95193.71719568825
2022-07-15,96672.95344942666
2022-07-18,95131.21913546181
2022-07-19,99260.15082567788
2022-07-20,101494.7690297947
2022-07-21,103892.17980784035
2022-07-22,102447.28269594765
2022-07-25,100085.22439402199
2022-07-26,97934.19595163918
2022-07-27,101213.99449175454
2022-07-28,104315.22251909829
2022-07-29,105890.11843317605
2022-08-01,105736.1770879612
2022-08-02,105218.74564379311
2022-08-03,107993.61576861
2022-08-04,108298.2780267582
2022-08-05,107624.04968279458
2022-08-08,106675.84335535622
2022-08-09,101805.8219720707
2022-08-10,105619.52000444985
2022-08-11,105103.49260920144
2022-08-12,106674.11878794289
2022-08-15,107093.3277494297
2022-08-16,106071.4845716343
2022-08-17,104343.63390177346
2022-08-18,105032.9365083561
2022-08-19,102456.65716761208
2022-08-22,99139.8038331852
2022-08-23,99437.65147226906
2022-08-24,99971.67497271158
2022-08-25,102420.8672391758
2022-08-26,97642.26594561196
2022-08-29,96683.25628298378
2022-08-30,96520.57590311623
2022-08-31,95479.9151536808
2022-09-01,94884.7077218876
2022-09-02,96094.32032221413
2022-09-06,97096.20706957436
2022-09-07,99744.91443461037
2022-09-08,102117.57711618996
2022-09-09,104001.6533719883
2022-09-12,104596.28271502114
2022-09-13,98779.53564470864
2022-09-14,99347.53720110512
2022-09-15,98280.25585764504
2022-09-16,96792.37384241677
2022-09-19,96948.57512491799
2022-09-20,95924.49533861733
2022-09-21,93823.63561266518
2022-09-22,91283.47164553261
2022-09-23,90503.73716944313
2022-09-26,89977.73619288063
