date,account_value
2022-06-01,100000.0
2022-06-02,104902.67169927122
2022-06-03,101739.59346945096
2022-06-06,101632.39197628309
2022-06-07,102791.30872963622
2022-06-08,101142.28709465744
2022-06-09,98260.66386333134
2022-06-10,96355.67349895432
2022-06-13,92157.80893963578
2022-06-14,91265.26239851573
2022-06-15,92326.91764307597
2022-06-16,89307.36111000254
2022-06-17,88850.4577786751
2022-06-21,90283.25477493813
2022-06-22,91020.3538484893
2022-06-23,92769.22177267411
2022-06-24,95306.8489075904
2022-06-27,95618.8335674701
2022-06-28,94373.63457365562
2022-06-29,94431.53009795907
2022-06-30,94256.73445047428
2022-07-01,95912.811292851
2022-07-05,94920.25572582676
2022-07-06,95501.59205471375
2022-07-07,95620.03464602568
2022-07-08,95772.4645133591
2022-07-11,94763.62745842316
2022-07-12,94268.11823062852
2022-07-13,94298.11978865054
2022-07-14,94812.29776446536
2022-07-15,96030.60660181764
2022-07-18,94710.77508637669
2022-07-19,96666.404826283
2022-07-20,97020.17157925465
2022-07-21,98159.70408062842
2022-07-22,97175.94866898491
2022-07-25,97888.271240788
2022-07-26,97491.62331441643
2022-07-27,99471.04124264911
2022-07-28,101247.02016355516
2022-07-29,101768.54099095729
2022-08-01,101581.76410178092
2022-08-02,101705.82837744048
2022-08-03,103640.89171060851
2022-08-04,103714.22404798797
2022-08-05,102905.08498224548
2022-08-08,102831.89107689193
2022-08-09,102607.42932829192
2022-08-10,104071.02304300597
2022-08-11,103752.34173187545
2022-08-12,105493.35702022842
2022-08-15,106135.19951328567
2022-08-16,106019.0918301039
2022-08-17,105458.80780491164
2022-08-18,105260.3374541693
2022-08-19,104157.8782747679
2022-08-22,102321.24948725036
2022-08-23,101822.4369839125
2022-08-24,102220.55516275695
2022-08-25,103916.64453586868
2022-08-26,100757.98703607848
2022-08-29,100494.01642927459
2022-08-30,99255.01577839187
2022-08-31,98857.06427606872
2022-09-01,99770.4180520468
2022-09-02,98453.47278389266
2022-09-06,98053.8076823645
2022-09-07,100752.99369320205
2022-09-08,100593.33707699111
2022-09-09,101901.6930511885
2022-09-12,102856.39674791625
2022-09-13,98971.66100153259
2022-09-14,99842.07012781432
2022-09-15,98031.78942760757
2022-09-16,97906.41228851608
2022-09-19,98512.04131969741
2022-09-20,97693.16387209228
2022-09-21,95957.81181558898
2022-09-22,95153.02020201019
2022-09-23,94006.31995949081
2022-09-26,92778.04976639083
